Aavikko	Kõrb
Aikuinen	Täiskasvanu
Ajokortti	Juhiluba
Ala	Tööstus
Aloittaa	Alustama
Alusvaate	Aluspesu
Ankka	Part
Antaa	Andma
Appelsiini	Apelsin
Apteekki	Apteek
Aste	Kraad
Asunto	Korter
Aurinko	Päike
Aurinkoinen	Päikeseline
Auto	Auto
Auttaa	Abi
Avain	Võti
Avata	Avama
Banaani	Banaan
Biologia	Bioloogia
Bussi	Buss
Delfiini	Delfiin
Deodorantti	Deodorant
Dokumentti	Dokument
Ei	Ei
Eilen	Eile
Elokuu	August
Elokuva	Film
Elokuvateatteri	Kino
Ensimmäinen	Esimene
Esimies	Esimees
Etelä	Lõuna
Etsiä	Otsima
Etuosa	Eesosa
Faksi	Faks
Fysiikka	Füüsika
Haarukka	Kahvel
Häät	Pulm
Hai	Hai
Haluta	Tahtma
Hammasharja	Hambahari
Hammastahna	Hambapasta
Hampaat	Hambad
Harjata	Harjama
Harmaa	Hall
Hauska	Naljakas
Hauska tutustua	Meeldiv tutvuda
Hautajaiset	Matus
Hedelmä	Puuvili
Hei	Tere
Heikko	Nõrk
Heinäkuu	Juuli
Helikopteri	Helikopter
Helmikuu	Veebruar
Helppo	Lihtne
Herätä	Ärkama
Herkullista	Maitsev
Hevonen	Hobune
Hiiri	Hiir
Historia	Ajalugu
Hiukset	Juuksed
Hoitaja	Õde
Hoitoaine	Palsam
Housut	Püksid
Huhtikuu	Aprill
Hummeri	Homaar
Huominen	Homme
Huono	Halb
Huuli	Huul
Hylje	Hüljes
Hyttynen	Sääsk
Hyvä	Hea
Hyvää huomenta	Tere hommikust
Hyvää iltaa	Tere õhtust
Hyvää iltapäivää	Tere päevast
Hyvää yötä	Head ööd
Hyvästi	Head aega
Insinööri	Insener
Internet	Internet
Itä	Ida
Jäädä eläkkeelle	Pensionile jääma
Jalka	Jalg
Jalkaterä	Jalalaba
Jänis	Jänes
Jännittävä	Põnev
Järvi	Järv
Johtaja	Juhataja
Joki	Jõgi
Joulukuu	Detsember
Juna	Rong
Käärme	Madu
Kahdeksan	Kaheksa
Kahdeksankymmentäkahdeksan	88
Kahdeksantoista	Kaheksateist
