Viikko	Nädal 
Vuosi	Aasta 
Tänään	Täna
Huominen	Homme
Eilen	Eile
Kalenteri	Kalender
Sekunti	Sekund
Tunti	Tund
Minuutti	Minut
Kello	Kell
Voida	Võima/suutma
Käyttää	Kasutama
Tehdä	Tegema
Mennä	Minema
Tulla	Tulema
Nauraa	Naerma
Nähdä	Nägema
Kaukana	Kauge
Pieni	Väike
Hyvä	Hea
Kaunis	Kaunis
Ruma	Kole
Vaikea	Keeruline
Helppo	Lihtne
Huono	Halb
Lähellä	Lähedal
Hauska tutustua	Meeldiv tutvuda
Hei	Tere
Hyvää huomenta	Tere hommikust
Hyvää iltapäivää	Tere päevast
Hyvää iltaa	Tere õhtust
Hyvää yötä	Head ööd
Miten voit?	Kuidas läheb?
Kiitos	Aitäh
Ei	Ei
Herkullista	Maitsev
Minä olen	Mina olen
Hyvästi	Head aega
Kyllä	Jah
Maanantai	Esmaspäev
Tiistai	Teisipäev
Keskiviikko	Kolmapäev
Torstai	Neljapäev
Perjantai	Reede
Lauantai	Laupäev
Sunnuntai	Pühapäev
Toukokuu	Mai
Tammikuu	Jaanuar
Helmikuu	Veebruar
Maaliskuu	Märts
Huhtikuu	Aprill
Kesäkuu	Juuni
Heinäkuu	Juuli
Elokuu	August
Syyskuu	September
Lokakuu	Oktoober
Marraskuu	November
Joulukuu	Detsember
Nolla	Null
Yksi	Üks
Kaksi	Kaks
Kolme	Kolm
Neljä	Neli
Viisi	Viis
Kuusi	Kuus
Seitsemän	Seitse
Kahdeksan	Kaheksa
Yhdeksän	Üheksa
Kymmenen	Kümme
Kahvi	Kohv
Olut	Õlu
Tee	Tee
Viini	Vein
Vesi	Vesi
Naudanliha	Veiseliha
Porsas	Sealiha
Kana	Kana
Lammas	Lammas
Kala	Kala
Jalkaterä	Jalalaba
Jalka	Jalg
Pää	Pea
Käsivarsi	Käsivars
Käsi	Käsi
Sormi	Sõrm
Vartalo	Keha
Vatsa	Kõht
Selkä	Selg
Rinta	Rind
Hoitaja	Õde
Työntekijä	Töötaja
Poliisi	Politsei
Kokki	Kokk
Insinööri	Insener
Lääkäri	Arst
Johtaja	Juhataja
Opettaja	Õpetaja
Ojelmoija	Programmeerija
Myyjä	Müüja
Silmälasit	Prillid
Takki	Jope
Paita	Särk
Housut	Püksid
Mekko	Kleit
Vaatteet	Riided
Kenkä	King
Sukka	Sokk
Alusvaate	Aluspesu
Vastaanotta	Vastu võtma
Etsiä	Otsima
Ottaa	Võtma
Sanoa	Ütlema
Soittaa	Helistama
Löytää	Leidma
Puhua	Rääkima
Antaa	Andma
Onnellinen	Õnnelik
Surullinen	Kurb
Vihainen	Vihane
Heikko	Nõrk
Vahva	Tugev
Kylmä	Külm
Hauska	Naljakas
Kuuma	Kuum
Puhdas	Puhas
Likainen	Räpane
Matala	Madal
Korkea	Kõrge
Hedelmä	Puuvili
Banaani	Banaan
Omena	Õun
Viinirypäle	Viinamari
Vesimeloni	Arbuus
Tomaatti	Tomat
Mansikka	Maasikas
Kirsikka	Kirss
Persikka	Virsik
Appelsiini	Apelsin
Peruna	Kartul
Soijapapu	Sojauba
Vihannes	Köögivili
Porkkana	Porgand
Sipuli	Sibul
Lehtisalaatti	Lehtsalat
Kurkku	Kurk
Paprika	Paprika
Parskaali	Brokkoli
Pinaatti	Spinat
Lintu	Lind
Kana	Kana
Koira	Koer
Kissa	Kass
Hiiri	Hiir
Lehmä	Lehm
Sika	Siga
Hevonen	Hobune
Lammas	Lammas
Jänis	Jänes
Hylje	Hüljes
Mustekala	Kaheksajalg
Hai	Hai
Valas	Vaal
Delfiini	Delfiin
Hummeri	Homaar
Rapu	Krabi
Kalmari	Kalmaar
Meduusa	Meduus
Lämmin	Palav
Sade	Vihm
Lumi	Lumi
Pilvi	Pilv
Aurinkoinen	Päikeseline
Sateinen	Vihmane
Pilvinen	Pilvine
Viileä	Jahe
Kuuma	Kuum
Aurinko	Päike
Sää	Ilm
Kylmä	Külm
Aste	Kraad
Nainen	Naine
Mies	Mees
Tyttöystävä	Tüdruksõber
Poikaystävä	Poisssõber
Lapsi	Laps
Ystävä	Sõber
Aikuinen	Täiskasvanu
Vauva	Beebi
Tyttö	Tüdruk
Poika	Poiss
Juna	Rong
Lentokone	Lennuk
Bussi	Buss
Taksi	Takso
Polkupyörä	Jalgratas
Auto	Auto
Moottoripyörä	Mootorratas
Skootteri	Roller
Vene	Paat
Helikopteri	Helikopter
Musta	Must
Ruskea	Pruun
Harmaa	Hall
Valkoinen	Valge
Punaninen	Punane
Vihreä	Roheline
Sininen	Sinine
Keltainen	Kollane
Väri	Värv
Oranssi	Oranž
Levätä	Puhkama
Kuulla	Kuulma
Haluta	Tahtma
Lopettaa	Lõpetama
Aloittaa	Alustama
Auttaa	Abi
Opetella	Õppima
Liikkua	Liikuma
Tylsä	Igav
Jännittävä	Põnev
Tärkeä	Oluline
Kiireinen	Kiire
Vakava	Tõsine
Väsynyt	Väsinud
Vastenmielinen	Vastumeelne
Yksitoista	Üksteist
Kaksitoista	Kaksteist
Kolemtoista	Kolmteist
Neljätoista	Neliteist
Viisitoista	Viisteist
Kuusitoista	Kuusteist
Seitsemäntoista	Seitseteist
Kahdeksantoista	Kaheksateist
Yhdeksäntoista	Üheksateist
Kaksikymmentä	Kakskümmend
Luottokortti	Krediitkaart
Avain	Võti
Ajokortti	Juhiluba
Lompakko	Rahakott
Käsilaukku	Käekott
Tietokone	Arvuti
Sähköposti	E-mail
Kännykkä	Mobiiltelefon
Tekstiviesti	SMS
Puhelin	Telefon
Kaula	Kael
Kasvot	Nägu
Korva	Kõrv
Hiukset	Juuksed
Suu	Suu
Poski	Põsk
Nenä	Nina
Silmä	Silm
Hampaat	Hambad
Huuli	Huul
Vuori	Mägi
Ranta	Rand
Sademetsä	Vihmamets
Saari	Saar
Metsä	Mets
Joki	Jõgi
Valtameri	Ookean
Järvi	Järv
Pelto	Põld
Aavikko	Kõrb
Johtaja	Juhataja
Toimisto	Kontor
Kollega	Kolleeg
Kokous	Kohtumine
Dokumentti	Dokument
Faksi	Faks
Tulostin	Printer
Kopiokone	Koopiamasin
Työpöytä	Töölaud
Kirja	Raamat
Kynä	Pastakas
Vihko	Vihik
Lyijykynä	Pliiats
Pyyhekumi	Kustukas
Sakset	Käärid
Lyijytäytekyna	Mehaaniline pliiats
Viivoitin	Joonlaud
Tussi	Marker
Sanakirja	Sõnastik
Postitoimisto	Postkontor
Kirjasto	Raamatukogu
Ruokakauppa	Toidupood
Pankki	Pank
Lähikauppa	Pood
Sairaala	Haigla
Poliisiasema	Politseijaoskond
Apteekki	Apteek
Leipomo	Pagariäri
Elokuvateatteri	Kino
Neuvottelu	Läbirääkimised
Sopimus	Leping
Liiketoiminta	Äri
Sopimus	Tehing
Tilaus	Tellimus
Esimies	Esimees
Yritys	Firma
Palkka	Palk
Puheenjohtaja	Direktor
Ala	Tööstus
Vyö	Vöö
Solmio	Lips
Puku	Ülikond
Urheilukenkä	Tossud
Pyjama	Pidžaama
Rintaliivit	Rinnahoidja
Herätä	Ärkama
Matkustaa	Reisima
Syödä	Sööma
Harjata	Harjama
Käydä suihkussa	Duši all käima
Pestä	Pesema
Poistua	Lahkuma
Shekki	Tšekk
Kolikko	Münt
Raha	Raha
Pankkikortti	Pangakaart
Seteli	Arve
Radio	Raadio
Televisio	Telekas
Internet	Internet
Sanomalehti	Ajaleht
Uutiskanava	Uudistekanal
Kaksikymmentäyksi	21
Kaksikymmentäkaksi	22
Kolmekymmentäkolme	33
Neljäkymmentäneljä	44
Viisikymmentäviisi	55
Kuusikymmentäkuusi	66
Seitsemänkymmentäseitsemän	77
Kahdeksankymmentäkahdeksan	88
Yhdeksänkymmentäyhdeksän	99
Sata	Sada
Taide	Kunst
Kirjallisuus	Kirjandus
Elokuva	Film
Musiikki	Muusika
Musiikki-instrumentti	Pill
Maalaus	Maal
Teatteri	Teater
Musikaali	Muusikal
Ooppera	Ooper
Valokuvaus	Fotograafia
Työhuone	Kabinet
Makuuhuone	Magamistuba
Keittiö	Köök
Kylpyhuone	Vannituba
Olohuone	Elutuba
Ruokasali	Söögituba
Käytävä	Koridor
Asunto	Korter
Talo	Maja
Koti	Kodu
Tussitaulu	Valge tahvel
Liitutaulu	(Must) tahvel
Koe	Test
Oppikirja	Õpik
Opiskelija	Õpilane
Oppetaja	Õpetaja
Luokkahuone	Klassiruum
